name,No,5mm,30mm,target_size
O6302-20241107135739846,20.0,44.009,44.011,44.0
O6302-20241107135904407,21.0,44.01,44.012,44.0
O6302-20241107140322379,22.0,44.01,44.012,44.0
O6302-20241107140435804,23.0,44.009,44.011,44.0
O6302-20241107140547569,24.0,44.009,44.012,44.0
O6302-20241107140704322,25.0,44.009,44.012,44.0
O6302-20241107140817323,26.0,44.008,44.011,44.0
O6302-20241107140925429,27.0,44.009,44.011,44.0
O6302-20241107141044273,28.0,44.009,44.011,44.0
O6302-20241107141158606,29.0,44.008,44.011,44.0
O6302-20241107141311779,30.0,44.009,44.012,44.0
O6302-20241107141652327,31.0,44.01,44.012,44.0
O6302-20241107141808228,32.0,44.01,44.012,44.0
O6302-20241107141916568,33.0,44.01,44.013,44.0
O6302-20241107142025830,34.0,44.012,44.014,44.0
O6302-20241107142138651,35.0,44.011,44.013,44.0
O6302-20241107142249428,36.0,44.011,44.014,44.0
O6302-20241107142405961,37.0,44.011,44.013,44.0
O6302-20241107142522650,38.0,44.01,44.014,44.0
O6302-20241107142658328,39.0,44.01,44.014,44.0
O6302-20241107142949114,40.0,44.01,44.013,44.0
O6302-20241111133240788,1.0,45.995,45.997,46.0
O6302-20241111133520838,2.0,45.998,46.0,46.0
O6302-20241111133642455,3.0,45.997,46.0,46.0
O6302-20241111133822577,4.0,45.998,46.001,46.0
O6302-20241111133940506,5.0,45.997,46.001,46.0
O6302-20241111134104444,6.0,45.999,46.002,46.0
O6302-20241111134230057,7.0,46.0,46.003,46.0
O6302-20241111134402590,8.0,46.0,46.003,46.0
O6302-20241111134523633,9.0,46.001,46.004,46.0
O6302-20241111134656157,10.0,46.001,46.004,46.0
O6302-20241111135314955,11.0,46.001,46.004,46.0
O6302-20241111135454712,12.0,46.002,46.004,46.0
O6302-20241111135620318,13.0,46.002,46.005,46.0
O6302-20241111135812743,14.0,46.002,46.005,46.0
O6302-20241111135937601,15.0,46.003,46.006,46.0
O6302-20241111140058126,16.0,46.003,46.005,46.0
O6302-20241111140233043,17.0,46.003,46.006,46.0
O6302-20241111140443038,18.0,46.003,46.006,46.0
O6302-20241111140618519,19.0,46.003,46.006,46.0
O6302-20241111140731532,20.0,46.003,46.006,46.0
O6302-20241111141208532,21.0,46.003,46.006,46.0
O6302-20241111141336777,22.0,46.003,46.005,46.0
O6302-20241111141448151,23.0,46.002,46.005,46.0
O6302-20241111141610196,24.0,46.003,46.006,46.0
O6302-20241111141727005,25.0,46.003,46.006,46.0
O6302-20241111141849722,26.0,46.002,46.005,46.0
O6302-20241111142005903,27.0,46.002,46.006,46.0
O6302-20241111142201797,28.0,46.002,46.005,46.0
O6302-20241111142405115,29.0,46.004,46.007,46.0
O6302-20241111142545825,30.0,46.004,46.007,46.0
O6302-20241111142939724,31.0,46.004,46.007,46.0
O6302-20241111143130274,32.0,46.004,46.007,46.0
O6302-20241111143251063,33.0,46.004,46.007,46.0
O6302-20241111143414508,34.0,46.004,46.008,46.0
O6302-20241111143530054,35.0,46.005,46.007,46.0
O6302-20241111143656511,36.0,46.005,46.007,46.0
O6302-20241111143826632,37.0,46.004,46.007,46.0
O6302-20241111143945325,38.0,46.005,46.008,46.0
O6302-20241111144114711,39.0,46.004,46.008,46.0
O6302-20241111144242712,40.0,46.005,46.007,46.0
O6302-20241113132415150,1.0,48.012,48.014,48.0
O6302-20241113132828371,2.0,48.004,48.007,48.0
O6302-20241113133005876,3.0,48.003,48.006,48.0
O6302-20241113133121285,4.0,48.004,48.007,48.0
O6302-20241113133237527,5.0,48.003,48.007,48.0
O6302-20241113133356212,6.0,48.002,48.005,48.0
O6302-20241113133508137,7.0,48.003,48.005,48.0
O6302-20241113133617755,8.0,48.002,48.005,48.0
O6302-20241113133735911,9.0,48.002,48.005,48.0
O6302-20241113133921821,10.0,48.002,48.005,48.0
O6302-20241113134503119,11.0,48.002,48.005,48.0
O6302-20241113134653296,12.0,48.001,48.004,48.0
O6302-20241113134807231,13.0,48.001,48.004,48.0
O6302-20241113134952235,14.0,48.002,48.005,48.0
O6302-20241113135113372,15.0,48.002,48.005,48.0
O6302-20241113135248726,16.0,48.002,48.005,48.0
O6302-20241113135411003,17.0,48.002,48.005,48.0
O6302-20241113135539384,18.0,48.002,48.005,48.0
O6302-20241113135721459,19.0,48.001,48.004,48.0
O6302-20241113135840131,20.0,48.0,48.003,48.0
O6302-20241113140544034,21.0,48.002,48.005,48.0
O6302-20241113140710679,22.0,48.002,48.004,48.0
O6302-20241113140830020,23.0,48.001,48.003,48.0
O6302-20241113140948518,24.0,48.001,48.004,48.0
O6302-20241113141220208,25.0,48.001,48.004,48.0
O6302-20241113141342749,26.0,48.002,48.003,48.0
O6302-20241113141507411,27.0,48.0,48.003,48.0
O6302-20241113141651084,28.0,48.001,48.003,48.0
O6302-20241113141852174,29.0,48.001,48.004,48.0
O6302-20241113143250323,31.0,47.999,48.002,48.0
O6302-20241113143414172,32.0,48.0,48.003,48.0
O6302-20241113143531570,33.0,48.0,48.003,48.0
O6302-20241113143712179,34.0,47.999,48.002,48.0
O6302-20241113143857477,35.0,47.999,48.002,48.0
O6302-20241113144014882,36.0,47.998,48.001,48.0
O6302-20241113144142029,37.0,47.998,48.002,48.0
O6302-20241113144255001,38.0,47.998,48.002,48.0
O6302-20241113144410774,39.0,48.0,48.002,48.0
O6302-20241113144527303,40.0,48.0,48.003,48.0
O6302-20241118134026080,1.0,49.985,49.99,50.0
O6302-20241118134322030,2.0,50.0,50.004,50.0
O6302-20241118134457583,3.0,50.001,50.004,50.0
O6302-20241118134612356,4.0,50.001,50.004,50.0
O6302-20241118134727698,5.0,50.001,50.004,50.0
O6302-20241118134842375,6.0,50.0,50.005,50.0
O6302-20241118134958852,7.0,50.0,50.003,50.0
O6302-20241118135117874,8.0,50.0,50.005,50.0
O6302-20241118135244371,9.0,50.0,50.004,50.0
O6302-20241118135510137,10.0,50.001,50.004,50.0
O6302-20241118140005362,11.0,50.002,50.005,50.0
O6302-20241118140124423,12.0,50.002,50.004,50.0
O6302-20241118140814553,14.0,50.0,50.004,50.0
O6302-20241118140936231,15.0,50.001,50.004,50.0
O6302-20241118141058788,16.0,50.0,50.004,50.0
O6302-20241118141213445,17.0,50.001,50.004,50.0
O6302-20241118141327742,18.0,50.001,50.004,50.0
O6302-20241118141444092,19.0,50.0,50.004,50.0
O6302-20241118141559545,20.0,50.0,50.003,50.0
O6302-20241118142005308,21.0,50.001,50.003,50.0
O6302-20241118142123038,22.0,50.001,50.003,50.0
O6302-20241118142309843,23.0,50.0,50.003,50.0
O6302-20241118142432841,24.0,50.0,50.003,50.0
O6302-20241118142547062,25.0,50.0,50.003,50.0
O6302-20241118142702823,26.0,50.001,50.004,50.0
O6302-20241118142815148,27.0,50.001,50.003,50.0
O6302-20241118142942221,28.0,50.001,50.004,50.0
O6302-20241118143100856,29.0,50.001,50.004,50.0
O6302-20241118143221120,30.0,50.002,50.005,50.0
O6302-20241118143657872,31.0,50.001,50.005,50.0
O6302-20241118144014711,32.0,50.002,50.006,50.0
O6302-20241118144131689,33.0,50.002,50.006,50.0
O6302-20241118144257102,34.0,50.002,50.006,50.0
O6302-20241118144447832,35.0,50.002,50.005,50.0
O6302-20241118144624849,36.0,50.002,50.006,50.0
O6302-20241118144803147,37.0,50.002,50.005,50.0
O6302-20241118144937596,38.0,50.002,50.006,50.0
O6302-20241118145114766,39.0,50.002,50.006,50.0
O6302-20241118145246187,40.0,50.002,50.006,50.0
O6302-20241119133125794,1.0,51.988,51.991,52.0
O6302-20241119133315352,2.0,51.988,51.991,52.0
O6302-20241119133441158,3.0,51.988,51.991,52.0
